指标,数值,单位
新能源消纳率,48.3008076904899,%
调度总成本,24093.2140460945,元
燃料成本,4897.45814208874,元
切负荷惩罚成本,15800.2820996479,元
弃风光惩罚成本,4139.7607598716,元
频率合格率,100,%
供电可靠性,94.0167988250233,%
CO2排放估算,6922.14244378938,kg
总告警次数,0,次
低频告警次数,0,次
过频告警次数,0,次
切负荷事件数,91,次
切负荷总量,3160.05641992957,kWh
