指标,数值,单位
新能源消纳率,81.0218507841794,%
调度总成本,17723.5457342647,元
燃料成本,2.55245192195826,元
切负荷惩罚成本,15646.2488112391,元
弃风光惩罚成本,809.488739104666,元
频率合格率,50.9722222222222,%
供电可靠性,94.0751276666466,%
CO2排放估算,3.56941486685343,kg
总告警次数,353,次
低频告警次数,0,次
过频告警次数,353,次
切负荷事件数,22,次
切负荷总量,3129.24976224781,kWh
