Time_h,VPP1_PV_kW,VPP2_PV_kW,VPP3_PV_kW,VPP4_PV_kW,VPP5_PV_kW,VPP6_PV_kW,VPP7_PV_kW,VPP8_PV_kW,VPP9_PV_kW,VPP1_Wind_kW,VPP2_Wind_kW,VPP3_Wind_kW,VPP4_Wind_kW,VPP5_Wind_kW,VPP6_Wind_kW,VPP7_Wind_kW,VPP8_Wind_kW,VPP9_Wind_kW,VPP1_Gas_kW,VPP2_Gas_kW,VPP3_Gas_kW,VPP4_Gas_kW,VPP5_Gas_kW,VPP6_Gas_kW,VPP7_Gas_kW,VPP8_Gas_kW,VPP9_Gas_kW,VPP1_Bat_kW,VPP2_Bat_kW,VPP3_Bat_kW,VPP4_Bat_kW,VPP5_Bat_kW,VPP6_Bat_kW,VPP7_Bat_kW,VPP8_Bat_kW,VPP9_Bat_kW,VPP1_Load_kW,VPP2_Load_kW,VPP3_Load_kW,VPP4_Load_kW,VPP5_Load_kW,VPP6_Load_kW,VPP7_Load_kW,VPP8_Load_kW,VPP9_Load_kW,VPP1_Shed_kW,VPP2_Shed_kW,VPP3_Shed_kW,VPP4_Shed_kW,VPP5_Shed_kW,VPP6_Shed_kW,VPP7_Shed_kW,VPP8_Shed_kW,VPP9_Shed_kW,VPP1_Curtail_kW,VPP2_Curtail_kW,VPP3_Curtail_kW,VPP4_Curtail_kW,VPP5_Curtail_kW,VPP6_Curtail_kW,VPP7_Curtail_kW,VPP8_Curtail_kW,VPP9_Curtail_kW,VPP1_SOC,VPP2_SOC,VPP3_SOC,VPP4_SOC,VPP5_SOC,VPP6_SOC,VPP7_SOC,VPP8_SOC,VPP9_SOC,VPP1_Freq_Hz,VPP2_Freq_Hz,VPP3_Freq_Hz,VPP4_Freq_Hz,VPP5_Freq_Hz,VPP6_Freq_Hz,VPP7_Freq_Hz,VPP8_Freq_Hz,VPP9_Freq_Hz
0,1.17438178438372,0.935045712957074,1.12374856791545,0.396759164140218,0.287806702326861,0.354808875200281,0.490983037443231,0.399640046902239,0.426127601788966,36.9949431223172,73.6007885689273,33.9205260170171,146.735596347976,136.699132904809,236.169103924779,92.7831882095635,69.3306216105006,47.3896450976648,40,45,50,55,50,45,60,55,50,-40.8425019320522,-54.5189854223454,-42.2876915117198,-63.0504466122745,-65.8042249245582,-62.8282606260661,-58.4993662329506,-54.5790694741716,-51.0425656267878,163.478260869565,143.04347826087,153.260869565217,183.913043478261,163.478260869565,173.695652173913,153.260869565217,143.04347826087,132.826086956522,50.948044267051,37.2599545346622,49.8348502717353,29.7549234121603,28.0069102844948,32.0295764670334,35.3295927895377,38.2568385841972,41.1066867824785,38.1693249067009,22.4437450430288,35.0442745849326,15.0762111661629,14.2886359043321,19.2604176593037,23.1564717635819,25.989446260352,27.9786473978635,0.509393775444372,0.564330704739588,0.530238072681785,0.611601282176658,0.593453308206799,0.562042083286663,0.542814146889123,0.582553185979059,0.560920734971313,50.0000000000012,49.9999999999995,50.0000000000001,50,50.0000000000006,50.0320966647088,50.0000000000007,49.999999999997,50
0.1,0,0,0,0,0,0,0,0,0,23.7673840545141,47.2847924876933,21.7922262108099,94.2702158330026,87.8222945478111,151.726731305732,59.6085162420121,44.5414257053127,30.4454555185912,70,73,75,71.0480047577022,67.4262131440785,46.827737747692,71.8751818158113,73.3937667327851,74.757589588219,-9.09861644026198,-19.8360384028568,-10.909813109432,-22.1295533763439,-25.7320194897791,-39.5817251636256,-21.2799280930629,-19.7744150948815,-18.4303781171995,155.965217391304,136.469565217391,146.217391304348,175.460869565217,155.965217391304,165.713043478261,146.217391304348,136.469565217391,126.721739130435,33.4240213940024,22.6525035458263,31.2559856833548,19.3496128974093,14.8488172628982,0,19.3036416147092,21.7149436852347,23.7149629387335,23.7673840545141,12.998185700066,21.7922262108099,12.9225894536096,11.5999119319257,0,16.7099797286457,16.5938441887355,16.234109201241,0.511486457225632,0.569544749119767,0.532879395855647,0.615673119997906,0.59871407663582,0.569628580609691,0.547475464471412,0.587101301450882,0.564863978661504,50.0000000000007,49.9999999999975,50,50,50.0000000000022,50.0138015658249,50.0000000000016,49.9999999999984,49.9999999999997
0.2,1.62069855637334,1.31838488930412,1.41918686863682,0.54354294376353,0.400850544452105,0.466405682819104,0.668851134135718,0.524593621978608,0.57901680758808,14.7550498595269,29.3549121414895,13.5288504428202,58.5239726717059,54.5210331881224,94.1936007893948,37.0056135410604,27.6518002818018,18.9008690709276,73.1313835355598,64.9074319624105,70.7693132044755,67.1414564151012,63.0825845487373,52.233303918742,64.9099911284272,65.1439724479886,65.191188016274,34.7175979924987,26.4954751437651,32.3565779473928,28.7255349230357,24.6626120909217,17.0294231242386,26.486581091932,26.7228141137433,26.7738037364131,157.310144927536,137.646376811594,147.478260869565,176.973913043478,157.310144927536,167.142028985507,147.478260869565,137.646376811594,127.814492753623,16.7096665678623,8.48786290922841,14.4562950980936,11.027655348428,7.24156992039795,0,9.06482107012358,9.02388154808892,8.87257231176211,16.3757484159003,7.08230975856829,14.948037311457,11.0117507318907,7.40149462991267,0,9.34240290393936,8.57931480115149,7.49704281002777,0.502052327336366,0.561316340690027,0.523624081797469,0.609428438492898,0.592756923956853,0.565772280083369,0.540620759219877,0.579839667180843,0.558096080851491,50.0000000000004,49.9999999999965,50.0000000000011,49.9999999999968,49.9999999999994,50.0058276844223,50.0000000000008,50.0000000000003,49.9999999999996
0.3,3.91763930246963,3.34795750059223,3.60740789454633,1.2859932241175,0.931093301549146,1.15367591173744,1.67372283984618,1.28386007201956,1.37251750986009,14.2931867058721,28.436043521864,13.1053698317526,56.6920529669336,52.814413653216,91.2451489760241,35.8472623639567,26.7862425368958,18.3092333205218,73.5764008050609,65.9632509290727,71.4407717042821,69.5456853081341,65.6870982277009,57.3071364902441,66.9916241208865,66.8166759850829,66.4775940035344,38.6154600089386,31.0031898230566,36.4702455973439,34.5853912535868,30.7284318579429,24.0315324425601,32.0293398904548,31.8511840338068,31.5050953008607,165.101449275362,144.463768115942,154.782608695652,185.739130434783,165.101449275362,175.420289855072,154.782608695652,144.463768115942,134.144927536232,16.4879364437471,8.87477284158358,14.1174866534699,11.7720268484245,7.30807904321756,0,8.60721004895154,9.03537461986904,9.15340169311661,18.2108260083417,6.83855349929835,16.0413270120154,11.8579808328504,7.63233319365182,0,9.63344944024768,8.6904308659838,7.32708570840828,0.491558995812198,0.551688020869202,0.513192089349716,0.601909875176901,0.585334597421118,0.560330356975905,0.532331592581561,0.571184454128178,0.550132204385146,49.9999999999999,49.9999999999981,49.9999999999998,49.9999999999982,50.0000000000004,50.0023529101997,50.0000000000033,49.9999999999994,49.9999999999998
0.4,0,0,0,0,0,0,0,0,0,11.5238538871217,22.9265045939103,10.5661788504983,45.7078570647584,42.5815179356486,73.5662232884963,28.9017853216624,21.5963557695203,14.7617836324933,78.1337499510877,70.0805592521448,75.6060099597972,74.3529369730152,69.9401929174816,63.6909510552929,70.8532564477621,70.2682073572543,69.5609707677577,48.3300145207331,40.2795285004306,45.8039631627187,44.5463447957453,40.1276566508679,34.885078553556,41.0355465586375,40.4536858458264,39.7519729594492,162.968115942029,142.597101449275,152.782608695652,183.339130434783,162.968115942029,173.153623188406,152.782608695652,142.597101449275,132.411594202899,13.4566436989789,5.40630682920904,10.9535544866573,9.73754004670123,5.37166116309698,0,6.2795962915151,5.64490589289127,4.90206085024384,11.5238538871217,3.90420227633034,9.85290222403265,8.99445155401445,4.94708726968657,0,5.71242408386525,4.63394656675919,3.43480599937711,0.478425839692434,0.539178850527453,0.50009026922308,0.592225887177826,0.575641926732503,0.552430656216495,0.521711627116075,0.560191604713552,0.540083677347874,50.000000000001,50,49.9999999999959,49.9999999999989,49.9999999999984,50.0008393316695,50.0000000000042,49.999999999994,50.0000000000021
0.5,0,0,0,0,0,0,0,0,0,8.36886579721602,16.6497112880016,7.67338198274299,33.194010042142,30.9235966141009,53.4253432870649,20.9890862055483,15.6837291512371,10.7203186848747,81.7967139097129,74.7612493242651,79.6401065860667,80.6436499456101,75.7665600937458,71.3890642012258,75.6397733101244,74.6565544271232,73.2555721955439,55.9005384515901,48.8762683589085,53.7484016161255,54.746265624935,49.8604219906073,46.1931822906124,49.7272285838852,48.7468542055269,47.3429496994527,161.623188405797,141.420289855072,151.521739130435,181.826086956522,161.623188405797,171.724637681159,151.521739130435,141.420289855072,131.31884057971,7.18820445392364,0,4.31928212485604,5.8157349919256,2.05283529891806,0,2.29508057756167,0.876093957349331,0,8.36886579721602,1.13306085651811,6.1405668416437,7.42642636499066,3.01977440506159,0,2.87057045407764,1.45705814152002,0,0.463235475982763,0.5239998851986,0.484716012467895,0.580324525085449,0.563598346541535,0.541970243560106,0.508842261540535,0.546945176940311,0.528116298758528,50.0000000000018,49.9999999999909,50.000000000005,50.0000000000038,49.9999999999981,50.0001806498673,50.0000000000024,50.0000000000062,50.0000000000011
0.6,4.21805878263376,3.57634374717048,3.99902707043698,1.42656214498716,1.07074087844329,1.28928729675502,1.79531849315184,1.42247845455521,1.56079225638994,7.89823058983888,15.7133908218036,7.24185830818084,31.3272971352319,29.1845636724846,50.4208922507647,19.8087347483304,14.8017320801412,10.1174461416104,79.3415355627589,73.6932739800024,78.1503871854014,80.5253227658202,76.2399566656776,72.4905750640992,75.2572524112945,74.2350940022802,72.8398130261928,53.0015226100614,47.3384157328271,51.8132700528446,54.1850325050144,49.8952100472161,46.7287429521244,48.9067886889013,47.8860595653492,46.494974073444,162.411594202899,142.110144927536,152.260869565217,182.713043478261,162.411594202899,172.56231884058,152.260869565217,142.110144927536,131.959420289855,5.8359572751798,0,3.3124575155045,5.35787248411164,1.7585942085834,0,1.47949815655274,0.569569717835945,0,12.1162893724726,1.78872064861177,7.74386944140409,9.89095646066171,4.26252874030591,1.04570323951478,5.01327706956661,3.19521111436314,0.946394792580351,0.448832888316985,0.509298513853001,0.469895283047745,0.568545170193054,0.551546363438343,0.531388553580005,0.496185225130364,0.533932660754074,0.51636327194522,49.9999999999976,49.9999999999964,50.0000000000053,50.0000000000078,50.0000000000023,49.9998946189212,50.000000000002,50.0000000000054,50.0000000000007
0.7,2.14043986180957,1.74322306866569,1.90955172495462,0.698503504502878,0.534009886076697,0.644515446998123,0.890767043465338,0.710959702885797,0.771858061854291,6.73017277911422,13.3895603545101,6.17087043756658,26.6943488195957,24.8685010857462,42.9642199812845,16.8792498364658,12.6127254954631,8.6211917773104,80.6567016509981,74.4523321527173,78.4804948856168,81.339507364959,76.8713636818912,74.3356511745057,75.9895837649145,74.6535183349007,73.2161508870727,57.6096362450752,51.40824002823,55.4363633055356,58.2923324357567,53.8195804128126,51.8087091257498,52.9322356338399,51.5978077417531,50.1644712778564,163.617391304348,143.165217391304,153.391304347826,184.069565217391,163.617391304348,173.84347826087,153.391304347826,143.165217391304,132.939130434783,7.60982811727514,1.40849109604916,5.4363961728595,8.29252582639013,3.81986677712769,1.80891460033449,2.93244839144087,1.59806098873221,0.165458428012809,8.87061264092378,0.763370753020169,5.95762784229421,8.75234724462585,3.7040694255426,1.75260986680845,3.76701961441914,1.99214509724404,0,0.433178095859084,0.493333221918768,0.454038199722363,0.555872924011368,0.538546464787905,0.519656508941022,0.482486406384546,0.519911517345989,0.503682667476601,49.9999999999957,50.0000000000188,50.0000000000097,49.9999999999967,49.9999999999894,49.9997710234389,49.9999999999799,49.9999999999926,49.9999999999994
0.8,0,0,0,0,0,0,0,0,0,11.2619582525825,22.4054678359643,10.3260477153926,44.669082333088,41.6137936162815,71.8943283723063,28.244951984458,21.1055484967628,14.4263015334289,77.4206245883842,69.5222727815182,74.9693090708285,73.8479339115068,69.5740091405813,64.0491843813437,70.4474489503914,69.7858337700354,69.0239609297364,46.782010109917,38.886378459114,44.3325490048472,43.2068483076886,38.9271807291415,33.8995656043711,39.7954414023336,39.1367895689954,38.3801713848348,160.324637681159,140.284057971015,150.304347826087,180.365217391304,160.324637681159,170.344927536232,150.304347826087,140.284057971015,130.263768115942,13.5980864822006,5.70223060752302,11.0882319987699,9.84560682289377,5.39974902598844,0,6.26802081811883,5.77535871917937,5.13569132385722,11.2619582525825,3.76770828857735,9.58821002599035,8.79574600500669,4.80990516734793,0,5.54848466763945,4.48052742886184,3.29764294377197,0.420465593111824,0.481256706869354,0.441357264652327,0.546480130901001,0.529143764128692,0.511979976874815,0.47218737910651,0.509276520180501,0.493980905245854,49.9999999999994,50.00000000001,50.0000000000014,49.9999999999946,49.9999999999941,49.99971822866,49.9999999999889,50.0000000000006,49.9999999999996
0.9,1.54538006493777,1.25442258384518,1.39242192406776,0.51470370759343,0.372143470840309,0.464722347516172,0.636465613061281,0.507815486770574,0.564210606139922,13.1809149470426,26.2231984234913,12.0855319850332,52.2803727193596,48.7044847776997,84.1446048899021,33.0576886755085,24.7017821774222,16.8844395661752,74.1005618452699,66.2327617553518,71.8761284313556,69.8240614768823,65.936144766695,59.2974507527451,67.2418857505833,66.8190783970819,66.3109967543165,39.308759022238,31.4339598808426,37.1029297248167,35.0444933173987,31.164887821505,25.0134451526748,32.4661609750507,32.0401376982831,31.5266295056237,159.44347826087,139.513043478261,149.478260869565,179.373913043478,159.44347826087,169.408695652174,149.478260869565,139.513043478261,129.547826086957,16.5815673678269,8.70542991199654,14.063677836068,11.4909044232884,6.90315798861687,0,8.20139524845967,8.47983727595848,8.49024759429038,14.7262950119804,5.66327092429264,12.957570968524,10.2193773972586,6.36265943908475,0,7.87466461435503,6.9643924424101,5.77130206094441,0.409783865116651,0.471494607527477,0.430744298483901,0.538861762788523,0.521616013447169,0.506315700345676,0.463785163533256,0.500569961023359,0.486011585350601,49.9999999999992,50.0000000000055,50.0000000000008,49.9999999999968,49.9999999999982,49.9996962901602,49.9999999999969,50.0000000000002,50
