指标,数值,单位
新能源消纳率,82.3704994015118,%
调度总成本,17763.4508446402,元
燃料成本,16.7878757054222,元
切负荷惩罚成本,15821.8015728419,元
弃风光惩罚成本,751.963853177986,元
频率合格率,99.1666666666667,%
供电可靠性,94.0086498985366,%
CO2排放估算,24.5967955013477,kg
总告警次数,6,次
低频告警次数,0,次
过频告警次数,6,次
切负荷事件数,22,次
切负荷总量,3164.36031456837,kWh
