指标,数值,单位
新能源消纳率,56.6377747246358,%
调度总成本,7099.81396648944,元
燃料成本,838.129841310402,元
切负荷惩罚成本,6296.62668307546,元
弃风光惩罚成本,504.103177389681,元
频率合格率,46.9444444444444,%
供电可靠性,94.0390329851443,%
CO2排放估算,1102.92084382948,kg
总告警次数,382,次
低频告警次数,174,次
过频告警次数,208,次
切负荷事件数,21,次
切负荷总量,3148.31334153773,kWh
