指标,VPP1,VPP2,VPP3
消纳率(%),28.2308384863681,33.6529440437793,49.8404993278648
频率合格率(%),97.5,100,100
供电可靠性(%),93.5268025704164,97.1030424963354,91.1605545412241
调度成本(元),7455.57689265056,3596.28229251624,6711.59165947337
备用裕度,0.889161924469736,1.14176474392137,1.12011307368265
平均频率(Hz),50.1610040663389,50.0802673789488,50.1503361917381
最大频偏(Hz),0.561047750386415,0.224205402903813,0.42188692036575
低频告警(次),0,0,0
SOC越限(次),0,0,0
切负荷(次),97,52,126
最大切负荷(kW),150,100,120
