Time_h,VPP1_PV_kW,VPP2_PV_kW,VPP3_PV_kW,VPP1_Wind_kW,VPP2_Wind_kW,VPP3_Wind_kW,VPP1_Gas_kW,VPP2_Gas_kW,VPP3_Gas_kW,VPP1_Bat_kW,VPP2_Bat_kW,VPP3_Bat_kW,VPP1_Load_kW,VPP2_Load_kW,VPP3_Load_kW,VPP1_Shed_kW,VPP2_Shed_kW,VPP3_Shed_kW,VPP1_Curtail_kW,VPP2_Curtail_kW,VPP3_Curtail_kW,VPP1_SOC,VPP2_SOC,VPP3_SOC,VPP1_Freq_Hz,VPP2_Freq_Hz,VPP3_Freq_Hz
0,0.978651486986431,0.561027427774244,0.817271685756693,55.4924146834758,176.641892565425,37.6894733522413,10,8,12,100,80,120,564,451.2,394.8,150,8.79416001360058,120,0,177.2029199932,0,0.478260869565217,0.571014492753623,0.517391304347826,50.0330038578439,50,50.0139057673283
0.1,0,0,0,35.6510760817711,113.483501970464,24.2135846786777,13.0691898527729,16,21.0797888610639,100,80,120,538.08,430.464,376.656,150,100,120,0,0,0,0.456521739130435,0.542028985507246,0.484782608695652,50.0583177174839,50.0161307330706,50.0233062973906
0.2,1.35058213031112,0.791030933582469,1.03213590446314,22.1325747892904,70.4517891395748,15.032056047578,10.4924306027191,20.612546055173,28.0464087357452,100,80,120,542.72,434.176,379.904,150,100,120,0,0,0,0.434782608695652,0.513043478260869,0.452173913043478,50.0811534289841,50.0345473376394,50.0314174911541
0.3,3.26469941872469,2.00877450035534,2.62356937785187,21.4397800588081,68.2465044524735,14.5615220352806,2.53699476277443,21.1962978201986,33.0766149461852,100,80,120,569.6,455.68,398.72,150,100,120,0,0,0,0.41304347826087,0.484057971014493,0.419565217391304,50.1039038799553,50.0522016598751,50.0395950987421
0.4,0,0,0,17.2857808306825,55.0236110253846,11.7401987227759,0,17.7271685393289,36.0753486516188,88.9924299290504,80,120,562.24,449.792,393.568,150,100,120,0,0,0,0.393697297841511,0.455072463768116,0.386956521739131,50.1239180091962,50.0680334906248,50.0457764060104
0.5,0,0,0,12.553298695824,39.9593070912039,8.52597998082555,0,10.4113382022742,37.3800568432818,81.2134292261168,80,120,557.6,446.08,390.32,150,100,120,0,0,0,0.376042204531485,0.426086956521739,0.354347826086957,50.1409788436341,50.083188039794,50.0505429865651
0.6,3.51504898552813,2.14580624830229,2.90838332395417,11.8473458847583,37.7121379723286,8.04650923131204,0,2.4113382022742,37.226019058353,76.3914739022109,79.2327176334299,120,560.32,448.256,392.224,150,100,120,0,0,0,0.359435362378831,0.397379450132815,0.321739130434783,50.1552585590709,50.0971058102547,50.0543068010369
0.7,1.78369988484131,1.04593384119941,1.38876489087609,10.0952591686713,32.1349448508243,6.85652270840732,0,0,35.776150368689,71.9829452241311,67.4781054387525,120,564.48,451.584,395.136,150,100,120,0,0,0,0.343786896025759,0.372930861205731,0.289130434782609,50.1682892600197,50.1111413169863,50.0582607157672
0.8,0,0,0,16.8929373788737,53.7731228063143,11.4733863504363,0,0,32.9528915753103,67.6939124341746,61.1482527202898,120,553.12,442.496,387.184,150,100,120,0,0,0,0.329070828105286,0.35077569717664,0.256521739130435,50.1771024947074,50.1192563368522,50.0603096022236
0.9,1.28781672078147,0.752653550307106,1.0126704902311,19.771372420564,62.9356762163791,13.4283688722592,0,0,29.1167594684015,64.160240549571,58.3326853785965,120,550.08,440.064,385.056,150,100,120,0,0,0,0.315122949724945,0.329640666242366,0.223913043478261,50.1836634051404,50.1244774674624,50.0617807752681
1,0,0,0,18.294431248195,58.2343186455624,12.4252563698327,0,0,24.3685849999137,61.0114244115524,56.0436845819338,120,562.56,450.048,393.792,150,100,120,0,0,0,0.301859596591998,0.309334983422825,0.191304347826087,50.1913646100244,50.1310179735396,50.0650243746985
1.1,0,0,0,23.0792972515687,73.4653694356369,15.6750533151781,0,0,18.3214468983584,57.5575373345194,53.4254036310992,120,547.52,438.016,383.264,150,100,120,0,0,0,0.289347088475799,0.289977953121702,0.158695652173913,50.1953427767414,50.1329644090894,50.0665884997304
1.2,0.608716732092326,0.366673279706111,0.4593767145496,20.649974324312,65.7324170678066,14.0250998530142,0,0,11.295598793135,54.8084762237102,51.7064724302336,120,565.28,452.224,395.696,150,100,120,0,0,0,0.277432202340209,0.271243723980313,0.126086956521739,50.2015025990891,50.1376273189012,50.0705929230695
1.3,0,0,0,15.657377380897,49.8401229960588,10.6342157018989,0,0,2.76293678938229,51.561485763277,49.3976172788717,96.0000000000006,538.4,430.72,376.88,150,100,120,0,0,0,0.266223183696019,0.253346036560432,0.1,50.204026230852,50.1409661564176,50.0761387181234
1.4,0,0,0,20.7615955662125,66.0877266634023,14.1009110399332,0,0,0,49.0164971021643,47.3201882114071,-7.6402714063899,573.28,458.624,401.296,150,100,120,0,0,0,0.255567423456418,0.236201040831661,0.10175726242347,50.2103545723258,50.1454684031508,50.0975556892143
1.5,0,0,0,20.7615955662125,66.0877266634023,14.1009110399332,0,0,0,45.6472830841441,44.9650548332652,-9.19543358771437,566.24,452.992,396.368,150,100,120,0,0,0,0.245644101046821,0.21990935429787,0.103872212148644,50.214927807374,50.1486332849877,50.1142395543778
1.6,0,0,0,14.9278333511478,47.5178589738539,10.1387222110253,0,0,0,42.5833580007811,42.8457456159968,-5.89158717555376,563.52,450.816,394.464,150,100,120,0,0,0,0.236386849307521,0.204385533422509,0.105227277199021,50.2194100870522,50.1536336140449,50.1274205588308
1.7,0.857135841540538,0.528243915041111,0.679204451227596,13.9622241936973,44.4441590812928,9.48289743180109,0,0,0,39.4928011946019,40.3093436641201,-4.81535426908236,572.8,458.24,400.96,150,100,120,0,0,0,0.227801457743477,0.189780698761595,0.10633480868091,50.2246597814778,50.1593013250145,50.1386848807161
1.8,0,0,0,11.3169482831126,36.0237912550114,7.68627249648367,0,0,0,36.1962644947093,37.5827882200487,-4.37935159995363,581.6,465.28,407.12,150,100,120,0,0,0,0.219932704592453,0.176163746507955,0.1073420595489,50.2309393968119,50.1663308494149,50.1487896484534
1.9,0,0,0,8.52503488084337,27.1366510923673,5.79005395243956,0,0,0,32.6309474597785,34.5135748458146,-4.18151843773333,573.28,458.624,401.296,150,100,120,0,0,0,0.212839020362067,0.163658828085558,0.108303808789578,50.2357013864708,50.1726611827402,50.1563233806941
2,4.38489042556694,2.70639931339532,3.49550274648188,12.2361779127069,38.94985713987,8.31059711502473,0,0,0,29.3215356632961,31.5208963533614,-3.71226148711588,536.96,429.568,375.872,150,100,120,0,0,0,0.206464773478742,0.152238213464775,0.109157628931615,50.2340300953097,50.1723143924846,50.158095792772
2.1,0,0,0,18.9180522546865,60.2194114813772,12.8488088038027,0,0,0,27.3154929424041,29.8671104796329,-2.5056437077276,544.16,435.328,380.912,150,100,120,0,0,0,0.200526622839088,0.141416796624328,0.109733926984392,50.2336142702215,50.1705503777262,50.1598858122048
2.2,0.198937241393779,0.120888626854051,0.165723893044305,12.553298695824,39.9593070912039,8.52597998082555,0,0,0,25.0625152578339,28.5144096540483,-2.34172888211253,552.64,442.112,386.848,150,100,120,0,0,0,0.195078249956951,0.131085488778658,0.110272524627278,50.2355347826845,50.1729092881314,50.1626417197649
2.3,0,0,0,14.3958031387969,45.8243153760902,9.77737663568205,0,0,0,22.3230649383834,26.313534691706,-2.53728826596975,561.12,448.896,392.784,150,100,120,0,0,0,0.190225409752954,0.121551599397606,0.110856100928451,50.2383479770707,50.1752285171627,50.165519230696
2.4,0,0,0,12.0796402331826,38.4515708042204,8.2042794726099,0,0,0,19.3769462904494,3.579818051199,-2.62042197082301,567.52,454.016,397.264,150,100,120,0,0,0,0.186013030124596,0.120254563871809,0.111458797981741,50.2421535034534,50.1817807618828,50.1686394035566
2.5,0.347409249281557,0.209828216815799,0.285838669058114,10.9479469066473,34.8491964591303,7.4356532429414,0,0,0,16.1943059793724,-3.12825656284152,-2.71292542239677,551.84,441.472,386.288,150,100,120,0,0,0,0.182492528824732,0.121213895884414,0.112082770828892,50.2436361811447,50.1866967737578,50.1697487806466
2.6,0,0,0,9.95759845281084,31.6967471346101,6.76302596814708,0,0,0,13.461408629669,-3.33067032063661,-2.33606856936163,563.68,450.944,394.576,150,100,120,0,0,0,0.179566135644369,0.122235301449409,0.112620066599845,50.2469437439714,50.1923678087644,50.1718188968641
